146, 122, 122, 0.92648
498, 298, 302, 1.461265
804, 451, 455, 1.569403
1056, 577, 581, 1.545936
1564, 831, 843, 2.335817
1784, 941, 953, 2.2724
2074, 1086, 1107, 2.312491
2334, 1216, 1237, 1.955776
2480, 1289, 1312, 1.926264
2684, 1391, 1422, 2.376371
3022, 1560, 1592, 2.355028
3272, 1685, 1729, 2.476083
3650, 1874, 1919, 2.522415
3858, 1978, 2044, 2.679247
4102, 2100, 2168, 2.692614
4154, 2126, 2195, 2.40398
4396, 2247, 2316, 3.068129
4834, 2466, 2550, 3.395197
5160, 2629, 2724, 3.544587
5288, 2693, 2795, 2.904472
5552, 2825, 2928, 3.761506
5712, 2905, 3008, 3.806521
5988, 3043, 3150, 3.298188
6396, 3247, 3354, 4.196832
6902, 3500, 3676, 5.462571
6994, 3546, 3726, 3.692362
7574, 3836, 4029, 4.696888
8094, 4096, 4348, 5.155749
8244, 4171, 4445, 5.282399
8542, 4320, 4614, 4.953445
8842, 4470, 4770, 5.124358
9094, 4596, 4897, 4.568518
9246, 4672, 4975, 4.977703
9618, 4858, 5198, 7.776663
9900, 4999, 5350, 5.598475
10396, 5247, 5618, 5.750887
10724, 5411, 5794, 6.152796
10828, 5463, 5852, 6.397594
10966, 5532, 5922, 5.567058
11140, 5619, 6039, 6.540826
11328, 5713, 6138, 6.279592
11612, 5855, 6297, 5.762854
11746, 5922, 6364, 6.016357
11950, 6024, 6466, 6.331433
12373, 6234, 6724, 7.731292
12445, 6270, 6761, 6.466075
13059, 6577, 7077, 8.223257
13442, 6768, 7291, 6.547418
13624, 6859, 7389, 7.727935
13988, 7041, 7581, 8.070503
