406, 252, 252, 1.823725
458, 278, 278, 1.315833
810, 454, 479, 2.172215
1240, 669, 721, 2.513869
1336, 717, 794, 1.8358
1696, 897, 995, 2.603529
2102, 1100, 1250, 3.118244
2526, 1312, 1523, 3.503739
2976, 1537, 1806, 3.717026
3060, 1579, 1853, 2.989035
3362, 1730, 2019, 3.6019
3930, 2014, 2422, 5.02907
4232, 2165, 2633, 4.844897
4574, 2336, 2872, 3.974048
4778, 2438, 3016, 3.872131
4844, 2471, 3060, 3.649529
5316, 2707, 3344, 3.963016
5748, 2923, 3641, 4.316664
6238, 3168, 4003, 4.901873
6592, 3345, 4300, 5.427327
7028, 3563, 4547, 5.012558
7680, 3889, 5038, 6.485247
8014, 4056, 5296, 5.809165
8600, 4349, 5740, 6.669215
8916, 4507, 5993, 5.81645
9198, 4648, 6165, 6.00159
9952, 5026, 6656, 9.268423
10856, 5478, 7287, 11.380671
11222, 5661, 7534, 8.743017
11496, 5798, 7733, 9.667834
12098, 6099, 8188, 10.541854
12314, 6207, 8355, 8.59993
13296, 6698, 9112, 14.010106
13456, 6778, 9240, 10.955041
13876, 6988, 9535, 11.600695
14434, 7267, 10003, 14.138705
15030, 7565, 10458, 11.45665
15804, 7952, 11026, 13.657649
16492, 8296, 11516, 15.475393
17608, 8854, 12385, 16.792969
18574, 9337, 13186, 19.803751
19468, 9784, 13911, 16.190725
19826, 9963, 14200, 15.335417
21022, 10562, 15144, 20.474039
21882, 10993, 15875, 21.029356
22288, 11196, 16200, 16.18244
23232, 11668, 17005, 23.920302
23548, 11826, 17254, 18.696186
24078, 12091, 17679, 20.524495
24374, 12239, 17930, 16.688993
