534, 316, 316, 1.908618
1012, 555, 578, 2.678001
1176, 637, 677, 1.606038
1418, 758, 825, 2.05228
1470, 784, 851, 1.517486
1932, 1015, 1112, 2.812349
2286, 1192, 1328, 2.537525
2848, 1473, 1681, 4.230141
3080, 1589, 1833, 3.523864
3452, 1775, 2048, 4.059388
4036, 2067, 2426, 4.055474
4464, 2281, 2729, 4.155486
4602, 2350, 2829, 3.789775
4956, 2527, 3042, 3.847521
5254, 2676, 3231, 4.538258
5726, 2912, 3533, 4.094501
6220, 3159, 3884, 4.892355
6612, 3355, 4145, 4.022228
6732, 3415, 4241, 5.983217
7206, 3652, 4564, 5.687743
7442, 3770, 4730, 4.623133
7534, 3816, 4800, 4.527867
8012, 4055, 5131, 6.583154
8698, 4398, 5619, 7.033223
8752, 4425, 5648, 5.510347
9362, 4730, 6064, 7.145093
9988, 5043, 6537, 7.397654
10258, 5178, 6729, 6.218137
10662, 5380, 7049, 10.747472
11306, 5702, 7545, 9.859293
11706, 5902, 7866, 8.72426
11890, 5994, 7977, 8.732405
12266, 6182, 8293, 9.967972
13034, 6566, 8915, 13.163774
14154, 7126, 9770, 13.561448
14736, 7417, 10302, 16.018348
15324, 7711, 10767, 12.779021
15604, 7851, 10957, 11.544746
15756, 7927, 11085, 12.191681
16220, 8159, 11449, 11.924445
16500, 8299, 11675, 12.947907
17036, 8567, 12103, 14.296587
