576, 337, 337, 1.679189
1086, 592, 596, 2.446084
1352, 725, 731, 2.146259
1754, 926, 983, 2.530083
2126, 1112, 1173, 2.387459
2474, 1286, 1378, 2.308571
2848, 1473, 1581, 3.328553
3036, 1567, 1694, 3.048962
3584, 1841, 1968, 3.600975
3712, 1905, 2032, 2.938091
3764, 1931, 2058, 2.671674
4028, 2063, 2200, 3.36452
4260, 2179, 2316, 3.305716
4496, 2297, 2437, 3.647767
4546, 2322, 2467, 3.00075
4662, 2380, 2525, 3.376972
4800, 2449, 2598, 3.088233
4994, 2546, 2696, 3.878348
5402, 2750, 2919, 3.533772
5748, 2923, 3096, 4.698341
5800, 2949, 3123, 3.553445
5900, 2999, 3173, 4.946716
6154, 3126, 3307, 4.194385
6398, 3248, 3430, 7.229975
6560, 3329, 3514, 4.903831
6872, 3485, 3681, 4.205669
6936, 3517, 3714, 20.298122
7154, 3626, 3823, 6.17457
7242, 3670, 3867, 6.228957
7394, 3746, 3944, 19.111619
7556, 3827, 4028, 5.645985
7936, 4017, 4220, 10.404119
8024, 4061, 4264, 6.723185
8532, 4315, 4519, 27.499759
8900, 4499, 4705, 8.409667
9256, 4677, 4883, 16.320496
9728, 4913, 5120, 10.39458
10102, 5100, 5308, 5.432054
10460, 5279, 5488, 11.1169
10782, 5440, 5654, 8.384289
11006, 5552, 5788, 7.033136
11286, 5692, 5928, 15.1303
11504, 5801, 6055, 7.546124
11866, 5982, 6242, 6.525796
12214, 6156, 6417, 6.736366
12750, 6424, 6687, 6.971186
13256, 6677, 6942, 7.376028
13586, 6842, 7113, 7.351636
13782, 6940, 7212, 6.938644
13834, 6966, 7242, 6.809805
